"Intook Time","Intook Pose X","Intook Pose Y","Intook Pose θ","Shot Time","Shot X","Shot Y","Shot θ","Autonomous/Teleop","Speaker/Amp","Pivot Intended Position","Pivot Actual Position","Left Shooter RPM","Right Shooter RPM","Match Number","Alliance","Battery Voltage"
"PRELOAD","PRELOAD","PRELOAD","PRELOAD","15","0.7299940665586007","4.420050483345904","-1.0471975511965976","Autonomous","Speaker","32.3","32.00836181640625","74.31204223632812","36.69041061401367","27","Blue","11.1537978515625"
"15","0.735847491143618","4.416517300646145","-1.0533814112477615","13","1.9325941028536855","3.8428192071355127","-0.8037260380193735","Autonomous","Speaker","22.967647125681165","22.651214599609375","3162.818359375","2050.71044921875","27","Blue","9.514072998046874"
"6","8.475966101579338","2.4389253279008676","0.32801622514287976","3","3.3678771773789564","2.9383584360838424","-0.8660440075272277","Autonomous","Speaker","14.954684949288456","15.1298828125","3561.95947265625","2520.7265625","27","Blue","8.163341796875"
"128","7.374462881200827","5.623564831455722","1.810658292807726","126","5.811179884843751","6.950354890258029","-0.15801430084500903","Teleop","Speaker","11.25539171968555","11.309005737304688","3826.526123046875","2922.293701171875","27","Blue","7.37175048828125"
"121","12.376536021349677","1.0876114811251623","-1.3654647250965435","115","5.5455270643633","6.9850671902526","0.03024581499644272","Teleop","Speaker","11.325334554317594","10.7314453125","3950.479248046875","3039.151611328125","27","Blue","7.54765966796875"
"109","13.89600701887148","0.22047530294578438","-0.7404020756230211","105","4.099583014905604","6.4741613443788735","0.2591529247506482","Teleop","Speaker","14.909061764763806","14.17144775390625","3519.4033203125","2600.25048828125","27","Blue","8.647092041015625"
"97","14.743944094759824","0.6454806509008071","-0.28824984816907173","90","4.022160484635142","6.463317382214831","0.2249552553212417","Teleop","Speaker","15.368360979772033","15.429534912109375","3179.7177734375","2245.6484375","27","Blue","9.43240087890625"
"88","1.6634876453979521","7.241483692032838","2.7303727906424453","86","3.3984126518391333","6.40124630215406","0.20052496993753766","Teleop","Speaker","18.208157270661086","17.72808837890625","3262.42138671875","2379.05126953125","27","Blue","8.081669677734375"
"81","15.25681641701697","7.0960226210120165","0.432953304536322","78","10.36937558607718","6.226316226695449","0.011955105242937483","Teleop","Speaker","29.5","29.529983520507812","2405.168701171875","1461.0377197265625","27","Blue","10.406183837890625"
"70","14.301720935220972","0.03323098584545286","-1.1209738301844077","65","4.163765866991847","6.548230613096251","0.16086407882452217","Teleop","Speaker","14.854752126607396","14.97265625","3467.577880859375","2422.8984375","27","Blue","8.439770507812499"
"61","7.814400065632723","1.9261016277586036","-2.5031831736009322","58","4.120712213126722","5.055276088139505","-0.1261857931745667","Teleop","Speaker","15.582755473507858","15.312911987304688","3351.772705078125","2322.950439453125","27","Blue","8.22616650390625"
